num,ang1,ang2,ang3,ang4,ang5,ang6,ang7,ang8,ang9,ang10,label
15,152.76903339353882,91.87478126486998,49.87301187316491,34.85652975780624,88.41654457819877,94.73064680939024,178.8987406311145,168.5760544262796,168.7513944325991,167.7095711650018,arm_stretch_up
16,157.82186730577354,162.193032051626,134.2523515967608,146.72459635611452,113.10029298308551,89.3171566843561,162.1164029776189,164.5159487287736,168.60400102968302,175.41353018995642,arm_stretch_up
17,154.74147242094054,146.97118022757508,90.75384833307075,76.86611603073054,99.42530363309743,100.56488246960076,168.00597623869018,162.5555280790008,178.20322641699818,171.75727178878856,arm_stretch_up
18,177.09258823520256,162.12943367401522,170.59684628989874,137.01459878787057,113.26414122922293,69.07265113449513,171.11251012900325,176.0073968315989,175.72696580336546,172.5355751746134,arm_stretch_up
19,176.49908942006238,177.66067936449718,163.6068558794784,164.47146703896303,111.13644418233537,74.28965597530677,166.7769304610982,176.84383928561923,171.20003474628632,175.32179133011408,arm_stretch_up
20,171.58870217068173,166.62779866017775,176.8105053162705,153.24214455949635,109.46111013600391,73.8715387443953,164.4439042891603,179.42726233994043,173.35184905211395,168.7771615606675,arm_stretch_up
21,177.28205028696087,176.71877093695372,170.822445354962,167.3713943580384,114.3153758071276,71.57332062522592,166.3119729606351,179.8030943195895,169.10951708862805,172.75063706126528,arm_stretch_up
22,176.02439424908326,171.8686720911284,167.46343354130047,158.7464151565037,124.93882322810133,66.12151691347593,163.77630740255736,175.4114343146396,166.36277748295785,179.90255402368658,arm_stretch_up
23,175.5118706372154,175.14690361300794,166.06184465283317,178.27115173181366,92.3656136613132,91.4535724560389,173.40752883758904,177.7394980888588,174.57762679938108,175.38568388243704,arm_stretch_up
24,0.4851347185658185,22.253853626531306,169.41611785005244,155.31063149211522,48.818864249936894,104.80147988848127,176.69384790103504,161.2376937879298,178.97730178564984,142.39378845883112,arm_stretch_up
25,174.59386595217063,168.25854572729037,150.15685920270485,148.20020298742517,92.33160213806028,98.02315748626216,172.67989162905133,171.67348371658437,175.98248991582588,175.51096131431515,arm_stretch_up
26,165.67403251618063,145.03832649935376,176.86831035065111,88.62108432964507,86.60194971242306,91.06310400020868,179.73592454628087,177.31319642639238,176.18223002331408,177.16631178490627,arm_stretch_up
27,179.7875845884249,178.56382547609047,162.52887556327428,164.31428735912283,96.28344662298954,97.74367204187463,169.87890627001386,169.21682142563873,175.60428183404866,177.0788619887317,arm_stretch_up
28,171.06102337097482,179.160338622626,142.45893648964253,137.1642176073772,92.05939610439756,92.23984557231628,173.31110107992123,171.22214759714018,174.4454579800062,173.06351143772451,arm_stretch_up
29,174.4563896923298,170.31298961234978,162.05636568663292,176.44826664517979,100.03129161540159,95.76142059920619,171.15999236464032,167.3093496740684,171.8797220249508,174.3132944211468,arm_stretch_up
30,173.6349227441666,174.76045631457075,153.7497576303111,158.3019632825734,109.12835859242543,104.60873692259375,157.51227268364477,166.59309614185833,177.12844550380402,176.62601032485068,arm_stretch_up
31,177.4796438726028,175.59097418047833,174.10187662719258,179.1148828121227,91.78991060824607,95.41186915231704,176.55778471410255,174.05762953100918,179.0635996143389,179.36777699007416,arm_stretch_up
32,175.07866326130943,171.9865233842308,144.73901907544135,156.85002931398196,95.71814173987528,95.7473646173607,166.75650939059076,173.2948719183597,176.49363830769602,174.28454492442367,arm_stretch_up
33,172.02958263098694,172.56208505323056,159.45463609884246,170.7947679352471,83.58709214557783,88.61611052180888,176.71407751363873,179.1279519990366,175.33204459480055,178.02007869818902,arm_stretch_up
34,174.684563700164,172.42929740933326,171.40872826706752,172.30047822502388,85.9917029282398,91.70165799624479,179.54352953745342,178.03133805421785,178.28835033355733,179.41576379861203,arm_stretch_up
35,175.03585593702113,179.1384471655814,153.97065241519934,164.8854513016906,89.84965819332386,92.45387324703024,174.75831191240042,173.26111237407312,179.36832609383632,177.6571091844266,arm_stretch_up
36,175.17813605623795,177.76444670364972,148.11181587062262,157.1744109130669,96.58543025424025,92.57406393103093,169.9314445496255,170.97155489624265,178.06896255318688,179.33508850196324,arm_stretch_up
37,178.9295779090677,130.66338840359475,165.75562539950002,75.28285402705448,82.35045440181041,94.12304970201104,178.94493535727284,174.89578607912264,177.05163498276247,173.7013604364804,arm_stretch_up
